formula,formation energy
Sr6B(PO4)5,-3.26
K6Al4Si6BH4ClO24,-2.889
CaAlBO4,-3.332
CsLi(B3O5)2,-2.853
Ba3B6H2O13,-2.904
Sr4B14O25,-3.055
Cs2Li3(BO2)5,-2.7
Ba3Sr4B3O9F5,-3.52
Na3B3(HO2)4,-2.224
K2Al2B2O7,-3.003
BAsO4,-2.096
Ca5B3O9F,-3.39
Cs3Li4(BO2)7,-2.708
Na3B5(HO5)2,-2.531
Ba4NaAl2B8(ClO6)3,-3.089
RbMgBO3,-2.774
CsNa2Be6(BO3)5,-2.895
AlB5H16(NO7)2,-1.831
KMgBO3,-2.795
B4PbO7,-2.656
Rb5Li6(BO2)11,-2.698
BaBAsO5,-2.637
BPPbO5,-2.556
KBS4(ClO3)4,-1.868
Rb2Al2B2O7,-2.988
Rb2GeB4O9,-2.656
Sr5B3ClO9,-3.23
K2B5H5O11,-2.336
B2Se2O7,-1.914
TlB3O5,-2.594
Ba3Y(BO3)3,-3.304
Rb3Y2(BO3)3,-3.031
CsBa(BO2)3,-2.923
SrAl2B2O7,-3.273
K2SrB8(HO)28,-1.944
Rb4Ge3B6O17,-2.557
BaB8O13,-2.953
K2Ga2B2O7,-2.537
Ba5B3BrO9,-3.104
Ba5B3ClO9,-3.172
Ba3Sc(BO3)3,-3.291
Na4Ga3Ge3B(HO3)4,-1.856
BAsPbO5,-2.083
Ba5B4O11,-3.159
Ca10Ge16(B2O17)3,-2.642
K2B4H8O11,-2.117
Ba4NaAl2B8(BrO6)3,-2.996
B5Pb2BrO9,-2.513
Sr5B3BrO9,-3.157
CaGaBO4,-2.919
Ba3B3Pb2ClO9,-2.772
Ba3B3Pb2BrO9,-2.714
K2LiBO3,-2.356
SnB4O7,-2.625
Ba4NaGa2B8(BrO6)3,-2.834
B5Pb2IO9,-2.469
SrGaBO4,-2.91
TlBO2,-2.204
SrBi2B2O7,-2.507
NaSi2BH2O7,-2.55
B6Pb3O11F2,-2.557
RbB6S2(Cl3O2)2,-1.39
Ba3BPO7,-3.22
LiGeBO4,-2.302
CsBe4Al4(B3O7)4,-2.921
Ba2CoGe2O7,-2.523
Sr2CoGe2O7,-2.543
Na2CoGeO4,-1.952
Ba2CuGe2O7,-2.394
Sr2CuGe2O7,-2.402
Nd2Cu(GeO4)2,-2.665
Dy2Be2GeO7,-3.298
Er2Be2GeO7,-3.301
Er2Ge2O7,-3.086
Ba2FeGe2O7,-2.583
Gd2Be2GeO7,-3.261
Gd13Ge6O31F,-3.337
Ho2Ge2O7,-3.079
Ba2MnGe2O7,-2.627
Sr2MnGe2O7,-2.636
Mn4Be3Ge3SeO12,-2.285
Mn4Be3Ge3SO12,-2.325
BaNaNd(GeO3)3,-2.643
Na5Nd4Ge4O16F,-2.805
Li2NiGe3O8,-2.098
Na5Pr4Ge4O16F,-2.794
Pr2Be2GeO7,-3.234
Sm2Be2GeO7,-3.269
Tb2Ge2O7,-3.066
Tm2Ge2O7,-3.097
Rb3U3Ge2O13,-3.009
Zr3GeO8,-3.396
RbNb(GeO3)3,-2.406
KTa(GeO3)3,-2.493
RbTa(GeO3)3,-2.497
TaTl(GeO3)3,-2.349
K3Nb3Ge2O13,-2.636
KTaGeO5,-2.747
Ga2Ge4Pb3O14,-2.013
GePb3O5,-1.734
Ge(Bi3O5)4,-1.708
GeBi2O5,-1.876
SrGePbO4,-2.393
BaGePbO4,-2.359
Ge3Pb5O11,-1.83
Ge3(SbO3)4,-1.944
Ge3(BiO3)4,-1.942
NaGeSbO5,-2.059
KGeSbO5,-2.108
RbGeSbO5,-2.096
Ba2ZnGe2O7,-2.59
Sr2ZnGe2O7,-2.611
Ca2ZnGe2O7,-2.576
K2ZnGeO4,-2.043
Cd2Ge7O16,-2.009
Cd12Ge17(B4O29)2,-2.102
Zn2Ge3O8,-2.028
Li2Ge2O5,-2.255
LaGeBO5,-3.014
Ba3Ga2(Ge2O7)2,-2.539
C(CN)4,0.565
(C2B10H11)2Te2,0.481
C3N4,0.299
CNI,0.284
Au(CN),0.251
LuMn5,0.176
C3N4,0.147
Si3Ir,0.119
Co,0.118
LiPdSi3,0.0661
CuH,0.0486
Cu7Te4,-0.0555
Cu(NCS),-0.0597
CuCSN,-0.0598
Zr2Al3C4,-0.0642
InN,-0.0788
Fe3Th7,-0.123
Zn3As2,-0.146
AuCd,-0.16
Al51Ca4Cr7,-0.167
InSe,-0.176
LaFe5H7,-0.179
Nd7Ni3,-0.198
(TeCl4)(S4N4),-0.201
NNaSn,-0.202
SiC,-0.203
Cs2(Zn(N3)4),-0.21
TiCuSn,-0.222
((CH3)4N)(Ag(Se5)),-0.231
Ni5As2,-0.24
Cu4Sm2Sn5,-0.244
Be(BH4)2,-0.244
Li5NaSn4,-0.256
CuAsSe2,-0.262
LiGaGe,-0.267
Ce7Ru3,-0.273
Ni3Th7,-0.278
Re4Si7,-0.287
K3(Co(CN)6),-0.289
Cu8GeSe6,-0.296
Ag3(AsSe3),-0.297
Pd8Sb3,-0.297
GeTe,-0.303
LiBeSb,-0.308
Pr8Ga3Co,-0.312
LaNi5H7,-0.321
Ag3NSeO3,-0.325
LuCuPb,-0.332
GaAs,-0.338
Ga9Rh2,-0.345
Sc(AlC)3,-0.346
(N2H5)4Ge2Se6,-0.349
NaCu3Te2,-0.349
CeAgPb,-0.353
TmCuPb,-0.357
CuI,-0.359
K3Cu(CN)4,-0.36
GaN,-0.368
ErCuPb,-0.371
Al5C3N,-0.375
Cu3(PSe4),-0.376
HoCuPb,-0.38
(NH4)CS2(NH2),-0.384
NH3BH2CN,-0.388
S3N5PF2,-0.389
HoAgPb,-0.389
KSnAs,-0.396
Ag8(SiS4)S2,-0.397
TbCuPb,-0.397
KSnSb,-0.398
GaP,-0.399
DyAgPb,-0.403
Li(BH4),-0.403
CuPbY,-0.405
SmCuPb,-0.405
SrNiSi3,-0.407
Na6(WP4),-0.408
Ta21Te13,-0.413
TbAgPb,-0.417
SrAuIn3,-0.419
(C(NH2)2(NHOH))(N3O4),-0.423
Tm8Ga3Co,-0.424
CoO2,-0.425
LiZnSb,-0.43
BaPdSi3,-0.436
K(HC(NO)2)(OC2H4)6,-0.442
SmAgPb,-0.446
AgI,-0.449
Ni8P3,-0.457
NdAgPb,-0.457
Au2O3,-0.459
PrAgPb,-0.461
CrWN2,-0.466
CeAgSn,-0.466
Ag4Hg(Ge2S7),-0.467
K3(VO(CN)5),-0.471
Ni5P4,-0.477
AlAs,-0.478
CeCuSn,-0.478
((CH3)3NH)3(Mn2Cl7),-0.483
FeS,-0.485
AgI,-0.495
Sb2TeSe2,-0.498
((CH3)3NH)3(Sb2Cl9),-0.502
LaAgPb,-0.503
CeFeGe3,-0.505
AgCeGe,-0.506
HfCoGa2,-0.511
Hg4SiSe6,-0.513
Cu2(SnSe3),-0.516
Tl3(AsSe3),-0.517
CaSnZn,-0.517
(SbI3)(S8)3,-0.52
NiS,-0.521
NiSe,-0.523
BaIrGe3,-0.525
LaFeGe3,-0.53
Au3Sr7,-0.535
Hg4SiS6,-0.538
Ag4Cd(Ge2S7),-0.538
HfNiGa2,-0.542
MoN,-0.547
Tl3SbS3,-0.554
((CH3)CO(NH2)),-0.56
CaLiSn,-0.561
BaRhGe3,-0.563
NdCoGe3,-0.567
ErAgSn,-0.569
BaPdGe3,-0.57
Pb9As4S15,-0.573
AuErGe,-0.575
CeCoGe3,-0.577
SnYbZn,-0.579
HoAgSn,-0.582
CrI2,-0.583
NdCuSn,-0.587
DyAgSn,-0.593
((CH3)2NH2)3(Sb2Cl9),-0.594
GdCuSn,-0.597
AgCrSe2,-0.599
SmCuSn,-0.599
DyCuSn,-0.602
TbAgSn,-0.604
AlP,-0.605
NiS,-0.611
YAgSn,-0.612
Sr6(Cu2N3)(CuN2),-0.615
CoGe3La,-0.618
PrAgSn,-0.621
NdAgSn,-0.622
LiSnTm,-0.624
Cs2Hg6S7,-0.631
BaPtGe3,-0.632
SmAlSi,-0.634
PrPdIn2,-0.635
Cu6GeWS8,-0.642
AgLaGe,-0.646
(NH4)(ClO4),-0.646
(Y(CO(NH(CH3))2)3)(NO3)3,-0.651
Ag(NO3),-0.653
CeIrGe3,-0.656
GaN,-0.657
Tl(BrO3),-0.662
Th7Ir3,-0.663
Ba5In4Bi5,-0.664
SmAlGe,-0.665
BiTeI,-0.67
(LiMo)N2,-0.672
Ag2In2SiSe6,-0.676
Li8TeN2,-0.677
LiYSn,-0.679
ZnTe,-0.679
PrAlGe,-0.683
Al7(CN)3,-0.684
CeRhGe3,-0.689
CH2(AsCl2)2,-0.692
ScAuSn,-0.692
CH2(AsCl2)2,-0.692
(Os(NO)(NH3)4Cl)Cl2,-0.7
Cs3((BH2)6S4)Br,-0.7
LaNiSi,-0.702
PrRhGe3,-0.704
PtGeSe,-0.708
SnS2,-0.709
AlGeLa,-0.713
Li8SeN2,-0.72
CeNiSi,-0.721
MnS,-0.721
CeRuSi3,-0.723
Tl(ClO3),-0.723
AgCrS2,-0.727
SeBr4,-0.737
(N2H5)(Co(NHNH2COO)3)(H2O),-0.741
BiCo3(CO)9,-0.745
(NH4)HgI3(H2O),-0.745
CeAuGe,-0.747
Cu2In2SiS6,-0.752
LuAuSn,-0.752
GaCl3((CH3)3PO),-0.755
Ga2I4,-0.761
Cu2Cd(SiS4),-0.761
LaRhGe3,-0.762
(MnIn)GaS4,-0.762
Ag2In2SiS6,-0.763
K8(B12(BSe3)6),-0.763
Cu(CrS2),-0.769
NaMnSe2,-0.772
TmAuSn,-0.781
Na4As4Se8,-0.784
YbCuSb,-0.785
BaAs2,-0.787
Ga2Se2Te,-0.788
InN,-0.788
(C3Cl3S2)(MoOCl4),-0.788
LiAsSe2,-0.79
ErAuSn,-0.796
TiS3,-0.801
LiMnSe2,-0.803
YAuSi,-0.804
Ag5Pb2O6,-0.807
DyAuSn,-0.818
Cd4SiSe6,-0.818
HoAuGe,-0.822
GaSe,-0.827
TbAuSn,-0.827
AuDyGe,-0.829
PrAuSn,-0.83
NdAuSn,-0.834
Cs4(Au6S5),-0.845
In2ZnS4,-0.848
Zn(InS2)2,-0.849
PrPt3B,-0.85
In2ZnS4,-0.85
CdSe,-0.854
LiAsS2,-0.859
NdPt3B,-0.867
CdI2,-0.872
Zn2In2S5,-0.872
CdI2,-0.872
CePt3B,-0.876
CdS,-0.884
Co(MoS2)2,-0.885
Fe(MoS2)2,-0.89
KCu2EuTe4,-0.891
TlFeBr3,-0.9
RbSnS2,-0.913
K2(Sn2Se4),-0.916
PtO2,-0.923
(NO)(ClF4),-0.931
(C(NH2)3)2(PO3F),-0.932
YbAuSb,-0.936
AgAlS2,-0.938
KSnS2,-0.943
ZnSe,-0.946
Tl(Nb2(PS4)(S2)3),-0.954
PbI2,-0.955
CdInAlS4,-0.967
Lu(ClO4)3,-0.977
Zn(((OH)CH2)SO2)2,-0.979
Tl(IO3),-0.982
MoSe2,-0.988
Cd(NO3)2,-0.998
Tl(CoCl3),-1.01
CaPtAs,-1.02
K3((Nb2Se2)(Se2)3(AsSe3)),-1.03
Cs2Ti2(P2S8)(PS4)2,-1.04
H4NF,-1.04
Cs2Ti2(P2S8)(PS4)2,-1.04
Rb3((Nb2Se2)(Se2)3(AsSe3)),-1.04
HBr(H2O),-1.05
Na6(CoSe4),-1.05
ZnS,-1.06
Cs3((Nb2Se2)(Se2)3(AsSe3)),-1.06
K(BrO3),-1.07
Rb(BrO3),-1.07
H4NF,-1.07
GaMo4S8,-1.08
Cs(BrO3),-1.08
Li(BrO4)(H2O)3,-1.08
(N(CH3)4)Zn(HPO4)(H2PO4),-1.08
Cs(Nb2(PS4)(S2)3),-1.09
Rb(Nb2(PS4)(S2)3),-1.09
K3SbSe4,-1.09
Na6CoS4,-1.09
K2S3,-1.09
Cs(Nb2(PS4)(S2)3),-1.09
EuPtAs,-1.1
Cs(GeI3),-1.1
K6(CoSe4),-1.1
Na6(FeS4),-1.1
