formula,formation energy
LiKZn(P2O7),-2.6
Na2(VP2O8),-2.6
K2Zn(PO3)4,-2.6
Al2Si2O5(OH)4,-2.61
LiKZn(P2O7),-2.61
Al2(Si2O5(OH)4),-2.61
KBa3Ca4Cu3V7O28,-2.62
Ca(Al2Si3O10)(H2O)3,-2.63
Gd2(MoO4)3,-2.64
Sr18Ca3Cr14O56,-2.65
VOPO4,-2.65
La4Cu3MoO12,-2.68
NaSc(HPO4)2,-2.68
Zr(HPO4)2,-2.69
Na3La(VO4)2,-2.69
TlNbB2O6,-2.69
Ca3(AsO4)2,-2.7
Yb(MnO3),-2.7
U(TeO5),-2.7
NaBe4SbO7,-2.71
Na2(NiFeF7),-2.71
Pb(TiO3),-2.73
Ba2(CrO4),-2.73
Pb(Nb2O6),-2.74
LiFe2F6,-2.76
ScBiO3,-2.78
BaCs4(PO3)6,-2.78
Ba5Li2(WO5)3,-2.78
Ba5Re3ClO15,-2.79
K2(FeF5),-2.8
Li2(B4O7),-2.81
Li(B3O5),-2.81
Cs2Mg2(P6O18),-2.81
Pb5Ga3F19,-2.82
NdBaCuO2(BO3),-2.84
Na(NbO3),-2.84
KMn2Zn3(Si2O5)6,-2.84
Sr4(Ga2O7),-2.85
LaBaCuO2(BO3),-2.86
K(NbO3),-2.86
BaCuSi2O6,-2.87
K3(B2Nb3O12),-2.88
Li2(SiO3),-2.88
NaFe3B3Al6Si6O27(OH)3F,-2.89
Sr3Ce(PO4)(CO3)3,-2.89
Tm(FeO3),-2.89
K2(MnF6),-2.89
KBePO4,-2.89
Li(NbO3),-2.9
Rb2MnF6,-2.9
Ca4Cl6O,-2.9
Mg2(PO4)Cl,-2.9
Na2(Nb4O11),-2.91
Mn(TiO3),-2.92
Ce3OCl(AsO3)2,-2.93
La8Ru4O21,-2.95
Ca(PO3)2,-2.96
Sc(PO3)3,-2.97
YInO3,-2.98
Sc(MnO3),-2.98
Rb2(Be2Si2O7),-2.98
Ba4Cl6O,-2.99
KNa2LiFe2Ti2(SiO3)8,-3
Y(PO3)3,-3.01
Dy(PO3)3,-3.01
Lu(PO3)3,-3.03
Ta3O6N,-3.03
Lu(PO3)3,-3.03
Rb2GeF6,-3.04
K2GeF6,-3.04
Y(MnO3),-3.04
Cs3Ga2F9,-3.06
Dy(MnO3),-3.06
Ho(MnO3),-3.07
Ba2Mn(Si2O7)Cl,-3.08
Er(MnO3),-3.08
La(GaO3),-3.09
Ba(B2O4),-3.1
BeO,-3.1
Tm(MnO3),-3.1
K2(NbO)2(Si4O12),-3.11
LiCa(PO4),-3.11
LuMnO3,-3.11
Al(PO4),-3.11
Lu(MnO3),-3.11
Ba2Na(Nb5O15),-3.12
LaCaGaO4,-3.12
Na4Zr2(SiO4)3,-3.12
Mg39(Si28O70(OH)50),-3.12
Zr4O5N2,-3.13
Li(TaO3),-3.13
Ba3Yb(BO3)3,-3.13
LiMn(VF6),-3.14
YGaO3,-3.14
Ca9Fe(PO4)7,-3.17
KAl(SiO4),-3.19
Rb(AlSiO4),-3.19
Rb2(TiSi6O15),-3.19
K2(TiSi6O15),-3.19
Pb5(AlF6)3F,-3.21
Ba2(VO)(Si2O7),-3.21
Ba4LiNb3O12,-3.21
Ba3(BO3)(PO4),-3.21
Ca9In(PO4)7,-3.23
Ba6(Ti2Nb8O30),-3.27
Ba3Sc(BO3)3,-3.28
Sr2(Nb2O7),-3.3
Ba3Y(BO3)3,-3.3
Ca2(Nb2O7),-3.3
Ba3Ho(BO3)3,-3.31
BaMg(BO3)F,-3.32
MgBeAl4O8,-3.32
Ba3Tm(BO3)3,-3.32
Ba3Lu(BO3)3,-3.32
BaMg(BO3)F,-3.32
LiUO3,-3.35
Mg3BeAl8O16,-3.35
KYb3F10,-3.36
Rb5(Nb3OF18),-3.37
Ba4LiTa3O12,-3.37
Er2Sr3(BO3)4,-3.37
LaCa4O(BO3)3,-3.38
Ca3(SiO4)O,-3.38
Sr2(TiO)(Si2O7),-3.43
Ca3La3(BO3)5,-3.43
K2(SiF6),-3.43
Ca3La3(BO3)5,-3.43
Ba2(TiO)(Si2O7),-3.44
K2Li(AlF6),-3.47
Ba(TiO3),-3.49
Ba3Sr4(BO3)3F5,-3.51
UOF4,-3.66
CsTi8F33,-3.7
UF3,-3.74
Sr(HfO3),-3.78
La2(Ti2O7),-3.78
PrZr3F15,-4.11
LaF3,-4.49
CdInGaS4,-0.841
NaCdO2,-1.31
