MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData maximum NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
38,34,11.30434783,6.964083176,8,2,93,91,69.47826087,22.55198488,87,9.012182,87.62,78.607818,24.57858818,16.44558569,15.9994,53.5,2348,2294.5,693.5682609,750.5987524,54.8,1,17,16,11.47826087,5.856332703,16,3,2.434782609,0.718336484,195,138,91.86956522,34.42722117,66,0.93,3.98,3.05,2.673478261,1.054328922,3.44,1.956521739,0.083175803,5,2.565217391,1.969754253,4,0,0,0,0,0,0,1,7,6,4.52173913,2.018903592,6,1,1,0.043478261,0.083175803,0,5,5,1.608695652,1.190926276,2,0,0,0,0,0,0,0,5,5,1.652173913,1.145557656,2,7.1725,54.23,47.0575,15.56068841,11.27744171,9.105,1.97,1.97,0.541391304,0.753240076,0,0,0,0,12,229,217,93.56521739,91.16068053,12
56,51,14.5,10.375,8,9,93,84,75.125,17.84375,87,10.811,137.327,126.516,32.63931813,26.17192047,15.9994,53.5,2348,2294.5,569.10875,643.5359375,54.8,2,17,15,13.75,3.3125,16,4,2.625,0.9375,215,158,91.5,38.25,66,0.89,3.98,3.09,2.8525,1.004375,3.44,2,0,5,3,1.75,4,0,0,0,0,0,0,2,7,5,5,1.75,6,0,0,0,0,0,5,5,2.25,1.375,2,0,0,0,0,0,0,0,5,5,2.25,1.375,2,7.1725,63.59,56.4175,16.7465625,11.71085938,9.105,1.97,1.97,0.683,0.85375,0,0,0,0,12,229,217,85.75,90.6875,12
56,53,12.35897436,7.867192636,8,1,93,92,66.53846154,25.34911243,87,6.941,137.327,130.386,27.04965276,18.81938377,15.9994,53.5,2348,2294.5,612.5217949,659.4408547,54.8,1,17,16,12.25641026,4.46416831,16,4,2.564102564,0.838921762,215,158,99.35897436,41.11242604,66,0.82,3.98,3.16,2.526923077,1.011005917,3.44,1.871794872,0.223537147,5,2.435897436,1.735700197,4,0,0,0,0,0,0,1,7,6,4.307692308,1.873767258,6,1,1,0.128205128,0.223537147,0,5,5,2.333333333,1.367521368,2,0,0,0,0,0,0,0,5,5,2.461538462,1.301775148,2,7.1725,73.10666667,65.93416667,19.07792735,15.16012492,9.105,1.97,1.97,0.284974359,0.46765023,0,0,0,0,12,229,217,102.1282051,96.90729783,12
56,51,17.71428571,14.44897959,8,9,93,84,72,18.85714286,87,10.811,137.327,126.516,40.07351474,35.01713443,15.9994,53.5,2348,2294.5,608.3685714,633.0212245,54.8,2,17,15,13.14285714,3.551020408,16,4,2.857142857,1.224489796,215,158,96.57142857,41.10204082,66,0.89,3.98,3.09,2.697142857,1.003265306,3.44,2,0,5,2.571428571,1.918367347,4,10,10,1.428571429,2.448979592,0,0,2,12,10,6,2,6,0,0,0,0,0,5,5,1.714285714,1.183673469,2,0,0,0,0,0,0,0,5,5,1.714285714,1.183673469,2,7.1725,63.59,56.4175,17.39214286,13.19938776,9.105,1.97,1.97,0.499142857,0.713061224,0,0,0,0,12,229,217,91.42857143,89.91836735,12
20,14,11.14285714,4.775510204,8,3,93,90,63,33.14285714,87,12.0107,40.078,28.0673,22.5976576,9.7088528,15.9994,53.5,3823,3769.5,784.6328571,962.4955102,54.8,1,17,16,11.71428571,5.836734694,16,2,2.571428571,0.816326531,203,146,101.4285714,50.32653061,66,0.82,3.98,3.16,2.667142857,1.03755102,3.44,1.857142857,0.244897959,5,2.714285714,1.755102041,4,0,0,0,0,0,0,1,7,6,4.571428571,1.918367347,6,1,1,0.142857143,0.244897959,0,4,4,1.571428571,1.06122449,2,0,0,0,0,0,0,0,4,4,1.714285714,0.897959184,2,5.64,73.10666667,67.46666667,21.93416667,19.1452381,9.105,4.496,4.496,0.923714286,1.319591837,0,0,0,0,12,229,217,99.85714286,99.55102041,12
32,29,17.81818182,7.371900826,16,1,88,87,68.81818182,24.66115702,88,6.941,72.64,65.699,38.03254545,17.81606612,32.065,302.91,1211.4,908.49,459.5236364,136.7047934,388.36,1,16,15,12.54545455,4.198347107,16,2,3.090909091,0.495867769,128,23,113.6363636,9.421487603,105,0.98,2.58,1.6,2.097272727,0.52661157,2.58,1.818181818,0.297520661,4,2.545454545,1.58677686,4,10,10,2.727272727,3.966942149,0,0,1,14,13,7.090909091,3.404958678,6,1,1,0.181818182,0.297520661,0,5,5,2.363636364,1.256198347,2,0,0,0,0,0,0,1,5,4,2.545454545,1.157024793,2,16.59333333,25.786875,9.193541667,22.60253788,3.546997245,25.786875,2.202,2.202,1.235909091,1.053917355,2.202,0,0,0,64,229,165,111.9090909,63.14049587,70
34,31,30.2,5.44,34,1,89,88,76.7,15.68,89,6.941,78.96,72.019,69.5704,12.52588,78.96,302.91,1211.4,908.49,614.34,238.824,494,1,16,15,13.8,2.72,16,2,3.8,0.36,128,8,121,1.6,120,0.98,2.55,1.57,2.211,0.4068,2.55,1.9,0.18,4,2.9,1.32,4,10,10,9,1.8,0,0,1,16,15,13.8,2.72,16,1,1,0.1,0.18,0,5,5,2.5,1.1,2,0,0,0,0,0,0,1,5,4,2.6,1.04,2,16.59333333,25.92,9.326666667,23.69808333,2.6663,25.92,0.799,0.799,0.556,0.2916,0.799,0,0,0,14,229,215,82.7,86.18,14
49,46,30.90909091,10.14876033,34,1,89,88,69.54545455,24.92561983,89,6.941,114.818,107.877,71.81072727,23.58899174,78.96,429.75,1211.4,781.65,540.2072727,122.0350413,494,1,16,15,12.54545455,4.198347107,16,3,3.818181818,0.661157025,142,22,125.4545455,6.94214876,120,0.98,2.55,1.57,2.075454545,0.51768595,2.55,1.818181818,0.297520661,4,2.545454545,1.58677686,4,10,10,8.181818182,2.975206612,0,0,1,16,15,12.54545455,4.198347107,16,1,1,0.181818182,0.297520661,0,5,5,2.363636364,1.256198347,2,0,0,0,0,0,0,1,5,4,2.545454545,1.157024793,2,16.59333333,25.92,9.326666667,23.65742424,2.68738292,25.92,0.799,0.799,0.470636364,0.358214876,0.799,0,0,0,14,229,215,95,88.36363636,14
49,46,29.27272727,12.33057851,34,1,89,88,69.45454545,24.89256198,89,6.941,114.818,107.877,67.76031818,29.32971901,78.96,429.75,1687,1257.25,583.4436364,200.6466116,494,1,16,15,12.54545455,4.198347107,16,3,3.727272727,0.760330579,142,31,124.6363636,7.537190083,120,0.98,2.55,1.57,2.065454545,0.528595041,2.55,1.818181818,0.297520661,4,2.545454545,1.58677686,4,10,10,7.272727273,3.966942149,0,0,1,16,15,11.63636364,5.256198347,16,1,1,0.181818182,0.297520661,0,5,5,2.363636364,1.256198347,2,0,0,0,0,0,0,1,5,4,2.545454545,1.157024793,2,16.59333333,25.92,9.326666667,23.42424242,3.026556474,25.92,0.799,0.799,0.506090909,0.368066116,0.799,0,0,0,14,229,215,95.18181818,88.56198347,14
30,25,15.77777778,7.580246914,8,3,94,91,73.55555556,18.04938272,87,10.811,65.38,54.569,33.28594444,16.51879506,15.9994,54.8,2348,2293.2,508.61,490.5622222,54.8,1,17,16,13.33333333,3.407407407,16,2,2.888888889,0.790123457,203,137,103.6666667,30.22222222,66,0.82,3.44,2.62,2.533333333,0.882962963,3.44,1.888888889,0.197530864,5,2.555555556,2.049382716,4,10,10,2.222222222,3.456790123,0,0,1,12,11,6.666666667,2.518518519,6,1,1,0.111111111,0.197530864,0,5,5,1.444444444,1.160493827,2,0,0,0,0,0,0,0,5,5,1.555555556,1.061728395,2,7.1725,73.10666667,65.93416667,20.50101852,13.46635802,9.105,2.493,2.493,0.723333333,0.964444444,0,0,0,0,12,229,217,105.2222222,80.4691358,12
