MagpieData avg_dev MeltingT,MagpieData avg_dev CovalentRadius,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData avg_dev NValence,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData maximum GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mean SpaceGroupNumber
66.62,2.75,2.55,1.5699999999999998,1.9725,0.5774999999999999,2.55,7.5,3.75,5.25,2.5,1.25,0.799,0.3995,80.25
287.67749999999995,17.75,3.16,1.5100000000000002,2.375,0.7250000000000001,1.65,5.0,5.0,3.0,1.0,1.0,6.437,2.2325,161.5
104.04044444444443,30.99555555555556,3.98,2.98,3.5313333333333334,0.6580444444444443,3.98,1.6666666666666667,2.777777777777778,3.155555555555556,0.9333333333333333,0.37333333333333335,6.456,1.2756666666666667,56.13333333333333
447.9209375,40.0625,3.98,3.16,2.80125,0.9334375,3.44,0.625,1.09375,1.1875,2.375,1.0625,1.97,0.6740625,65.375
373.85375,17.1875,2.58,0.8900000000000001,2.235,0.3450000000000001,2.58,5.0,5.0,3.0,1.75,0.8125,2.202,1.053125,143.625
205.6775,38.9921875,3.04,2.06,1.87625,0.7842187500000001,0.98,0.0,0.0,1.5,1.5,0.75,7.853,3.5553984375,209.3125
130.3409745939192,31.7201166180758,3.04,2.09,2.3265306122448983,0.26209079550187436,2.2,0.0,0.0,1.9158683881715952,1.7959183673469388,0.982923781757601,7.853,2.226096626405664,151.53061224489795
408.4736,32.16,3.44,1.66,2.8653333333333335,0.6896,3.44,2.6666666666666665,3.9111111111111114,5.813333333333333,2.933333333333333,1.12,0.773,0.17864888888888888,86.0
395.5990625,42.5,3.44,2.62,2.71875,0.9015625,3.44,0.25,0.4375,1.25,2.75,1.375,1.625,0.35546875,60.625
388.8673469387755,55.91836734693878,2.2,1.31,1.9285714285714286,0.3877551020408165,2.2,0.0,0.0,0.6122448979591838,1.4285714285714286,1.0204081632653061,7.853,3.20530612244898,203.42857142857142
197.0938775510204,29.877551020408163,3.44,2.46,2.7514285714285713,0.7869387755102041,3.44,1.4285714285714286,2.4489795918367347,5.63265306122449,2.2857142857142856,0.6938775510204082,1.625,0.3979591836734694,72.0
141.04500000000002,39.0,3.44,2.51,2.4050000000000002,1.035,3.44,2.5,3.75,3.25,2.5,1.25,0.0,0.0,79.25
310.03666666666663,41.22222222222222,3.44,2.62,2.888333333333333,0.7355555555555556,3.44,1.6666666666666667,2.777777777777778,3.4583333333333335,2.0833333333333335,0.3194444444444446,0.799,0.22194444444444447,45.583333333333336
359.9425,43.90625,3.44,2.62,2.76,0.8500000000000001,3.44,2.5,3.75,3.5,2.25,0.625,0.383,0.08378125,85.0
213.03937500000006,37.65625,2.58,1.7600000000000002,2.031875,0.6561718750000002,2.58,0.1875,0.3515625,1.78125,2.1875,0.8046875,2.202,0.90109375,111.1875
125.08500000000001,14.625,3.44,0.8599999999999999,3.225,0.3224999999999999,3.44,0.0,0.0,0.0,2.0,0.0,2.202,0.82575,26.5
397.3502040816326,32.19387755102041,3.04,2.11,2.156428571428571,0.7560204081632654,2.66,5.0,5.0,6.0,3.857142857142857,3.5102040816326534,6.437,1.4246938775510205,131.5
560.1983673469388,45.714285714285715,3.44,2.51,2.532857142857143,1.0367346938775508,3.44,0.0,0.0,1.4285714285714286,3.2857142857142856,2.122448979591837,0.773,0.1893061224489796,99.71428571428571
780.225,16.25,3.04,1.47,2.3875,0.6525000000000001,3.04,0.0,0.0,1.0,2.5,1.25,6.437,3.0252499999999998,202.25
879.2005555555556,30.722222222222225,3.44,2.65,2.75,0.805,3.44,0.8333333333333334,1.527777777777778,2.0,2.8333333333333335,1.277777777777778,1.524,0.5555416666666667,86.33333333333333
161.75,29.5,3.44,2.46,2.4175,1.0225,3.44,2.5,3.75,3.25,2.5,1.25,0.0,0.0,79.25
767.1802469135804,20.814814814814813,3.44,1.79,2.6844444444444444,0.5827160493827159,2.2,1.1111111111111112,1.9753086419753088,2.5925925925925926,1.7777777777777777,0.9135802469135802,7.853,3.4066172839506175,133.33333333333334
213.55555555555554,40.74074074074073,3.98,3.16,3.018888888888889,0.8014814814814814,3.44,1.1111111111111112,1.9753086419753088,2.0,1.7777777777777777,0.5185185185185186,2.202,0.909925925925926,60.333333333333336
26.679999999999993,15.0,2.58,1.6,1.98,0.6000000000000001,2.58,2.5,3.75,3.25,2.5,1.25,2.202,1.101,127.0
388.6875,23.25,3.98,1.7999999999999998,3.53,0.675,3.98,2.5,3.75,3.0,1.5,0.75,1.97,0.73875,52.75
196.25,9.75,2.58,1.6,1.9375,0.6425000000000001,2.58,0.0,0.0,2.0,2.5,1.25,2.202,1.101,148.5
435.16875000000005,33.4375,3.44,1.9,2.8187499999999996,0.7765625,3.44,1.5,2.25,4.6875,3.25,1.625,1.625,0.35546875,56.25
531.6804958677686,39.45454545454545,3.44,2.65,2.7927272727272725,0.823801652892562,3.44,0.9090909090909091,1.652892561983471,1.6363636363636365,2.3636363636363638,0.7107438016528927,0.773,0.2299834710743802,84.81818181818181
483.9538580246913,39.79629629629629,3.44,2.62,2.638333333333333,0.9352777777777779,3.44,0.8333333333333334,1.5277777777777777,1.8333333333333333,2.5,1.0,0.773,0.24215895061728399,94.52777777777777
518.478125,37.1875,3.44,1.8199999999999998,2.8187499999999996,0.7765625,3.44,2.875,3.59375,5.875,3.0,1.5,0.464,0.1015,79.375
